1;Afghanistan
2;Albania
3;Algeria
4;Andorra
5;Angola
6;Antigua and Barbuda
7;Argentina
8;Armenia
9;Australia
10;Austria
11;Austrian Empire
12;Azerbaijan
13;B
14;Baden*
15;Bahamas
16;Bahrain
17;Bangladesh
18;Barbados
19;Bavaria*
20;Belarus
21;Belgium
22;Belize
23;Benin (Dahomey)
24;Bolivia
25;Bosnia and Herzegovina
26;Botswana
27;Brazil
28;Brunei
29;Brunswick and Lüneburg
30;Bulgaria
31;Burkina Faso (Upper Volta)
32;Burma
33;Burundi
34;C
35;Cabo Verde
36;Cambodia
37;Cameroon
38;Canada
39;Cayman Islands
40;Central African Republic
41;Central American Federation*
42;Chad
43;Chile
44;China
45;Colombia
46;Comoros
47;Congo Free State
48;Costa Rica
49;Cote d’Ivoire (Ivory Coast)
50;Croatia
51;Cuba
52;Cyprus
53;Czechia
54;Czechoslovakia
55;D
56;Democratic Republic of the Congo
57;Denmark
58;Djibouti
59;Dominica
60;Dominican Republic
61;Duchy of Parma
62;E
63;East Germany (German Democratic Republic)*
64;Ecuador
65;Egypt
66;El Salvador
67;Equatorial Guinea
68;Eritrea
69;Estonia
70;Eswatini
71;Ethiopia
72;F
73;Federal Government of Germany (1848-49)*
74;Fiji
75;Finland
76;France
77;G
78;Gabon
79;Gambia
80;Georgia
81;Germany
82;Ghana
83;Grand Duchy of Tuscany
84;Greece
85;Grenada
86;Guatemala
87;Guinea
88;Guinea-Bissau
89;Guyana
90;H
91;Haiti
92;Hanover*
93;Hanseatic Republics*
94;Hawaii*
95;Hesse*
96;Holy See
97;Honduras
98;Hungary
99;I
100;Iceland
101;India
102;Indonesia
103;Iran
104;Iraq
105;Ireland
106;Israel
107;Italy
108;J
109;Jamaica
110;Japan
111;Jordan
112;K
113;Kazakhstan
114;Kenya
115;Kingdom of Serbia/Yugoslavia*
116;Kiribati
117;Korea
118;Kosovo
119;Kuwait
120;Kyrgyzstan
121;L
122;Laos
123;Latvia
124;Lebanon
125;Lesotho
126;Lew Chew (Loochoo)*
127;Liberia
128;Libya
129;Liechtenstein
130;Lithuania
131;Luxembourg
